Narcissus,Agrumen,Oud,Jasmine,Amber,Neroli,Indole,Vanilla,Frankincense,Bergamot,Galbanum,Magnolia,Sandalwood,Cashmeran,Citron,Opopanax,Aliphatic Aldehydes,Vetiver,Scent Quality Score
489.766,343.51,638.519,315.377,966.417,913.256,1015.036,479.027,485.797,2918.050062,108.538,727.438,936.842,4801.306119,261.952,148.593,783.264,809.541,13027001.44
472.841,218.288,642.332,210.582,995.068,989.447,958.614,507.113,242.015,2119.07484,246.654,755.477,840.936,4896.31559,149.498,44.49,906.204,815.512,11590734.39
472.62,323.48,696.77,288.379,1006.334,875.163,987.398,611.463,410.451,2679.139347,281.022,729.155,825.386,5350.521973,177.98,141.612,705.294,794.394,13676928.3
503.155,397.632,644.533,151.414,960.097,905.462,1031.227,469.357,388.405,1784.035393,280.953,711.906,786.198,5029.939322,29.515,149.231,678.681,837.614,7997426.573
499.78,344.096,643.764,353.518,1033.988,978.976,871.312,439.266,311.002,3236.214279,272.058,737.003,898.238,4988.788504,138.884,122.238,622.09,824.174,11132896.85
448.96,300.616,683.19,206.261,1091.129,861.306,864.848,602.143,355.968,2169.301674,75.216,815.402,718.044,5489.2138,186.039,245.356,878.451,826.159,13351358.68
446.752,278.759,623.353,159.721,905.37,806.366,957.575,546.464,477.429,1916.368977,337.767,632.869,1014.387,4628.129466,172.251,84.115,763.718,795.641,9851352.811
434.677,432.89,651.779,128.007,1016.211,726.912,931.947,543.577,362.814,1743.566726,334.958,866.927,949.951,4750.986963,37.932,89.349,497.693,774.804,6975151.96
446.965,335.48,730.02,306.174,934.755,910.77,1053.889,529.105,310.937,2799.706946,147.131,896.535,774.707,5724.819623,49.382,170.823,782.381,753.929,13517978.26
506.033,414.18,742.083,206.233,964.461,907.277,847.305,454.421,319.53,2269.664532,173.521,827.199,1016.879,5684.617309,48.879,168.102,695.008,807.507,9489491.568
455.704,405.981,640.184,0,972.886,856.243,888.493,570.064,329.301,782.0999016,291.409,772.979,957.46,4806.24894,169.792,121.047,771.054,792.227,5591458.866
535.634,339.685,697.428,179.576,938.028,970.976,912.89,575.104,396.669,1890.377309,262.141,889.472,822.799,5481.802464,170.688,162.742,666.561,811.574,9622370.844
444.1,232.956,667.125,224.564,1085.052,895.803,959.803,603.363,351.523,2257.845296,307.395,739.627,766.628,5311.639622,69.056,105.878,839.274,823.642,13304562.28
485.482,312.904,658.209,50.514,919.705,944.107,913.493,612.733,294.212,1124.008004,201.555,749.468,850.807,5171.953208,126.896,146.658,646.228,805.03,6428090.71
455.076,318.183,682.427,124.902,1103.746,1042.074,883.978,571.674,315.116,1467.678436,245.677,779.807,777.47,5089.40111,275.371,203.42,829.742,822.37,9022180.824
462.457,269.518,748.203,319.441,993.999,1013.577,839.72,780.824,452.1,2915.341726,195.116,761.119,856.918,5562.664233,236.177,133.168,723.367,778.654,18389068.23
453.536,321.136,661.022,254.182,924.563,988.202,828.693,414.104,354.788,2393.021586,217.069,783.099,751.392,4913.038744,0,93.978,768.201,817.071,9539873.69
482.035,264.123,628.861,141.675,867.005,930.968,885.752,485.463,540.914,1739.724949,209.91,645.373,825.526,4936.014814,94.473,161.34,732.544,793.054,8032964.532
466.739,332.536,743.675,343.933,997.506,933.588,886.215,648.848,487.652,3154.612632,189.806,944.164,872.675,5375.673557,108.086,85.663,692.402,785.133,16267850.76
472.233,342.166,689.429,141.685,1226.521,757.275,1067.278,535.554,356.725,1706.647079,232.742,889.451,880.126,5222.662218,0,183.902,671.619,835.659,8418149.903
511.52,290.076,673.056,221.608,994.331,922.739,1006.066,645.502,463.924,2506.341491,206.511,775.637,991.311,5083.395321,144.221,69.879,705.184,825.953,13555004.52
477.166,284.93,693.57,202.168,1026.787,785.709,991.245,511.106,369.795,2224.348282,327.977,846.54,738.932,5191.945044,117.036,151.03,902.299,811.482,12389281.41
468.907,470.974,656.99,278.432,1176.354,911.694,821.397,495.389,311.819,2544.685053,260.065,820.34,854.916,4937.894035,43.714,140.899,705.695,815.533,11457338.67
455.441,295.071,717.732,116.565,1088.373,918.118,1058.617,489.977,389.588,1681.144458,376.588,723.842,834.346,5610.430962,129.759,3.927,634.519,819.698,7310715.158
442.545,259.632,653.346,209.452,1046.823,742.467,865.804,656.378,426.828,2233.791273,169.177,585.023,946.232,4987.585356,52.029,59.089,745.03,798.002,12680549.09
458.716,228.202,706.166,245.209,1040.353,985.404,972.834,564.29,289.421,2392.150697,220.679,726.927,945.102,5390.829298,48.646,208.233,779.672,832.116,12359609.72
505.375,393.576,640.937,192.599,962.93,804.824,908.099,596.243,348.217,2054.897192,373.915,585.651,833.191,4987.954564,71.177,132.825,722.044,810.5,11189798.97
426.194,380.884,720.522,187.262,991.932,955.529,958.603,529.09,364.506,2037.432741,217.007,696.532,908.391,5533.449307,251.38,63.476,757.977,836.352,10159170.08
447.193,329.371,751.491,134.887,889.494,749.675,901.147,644.412,417.717,1772.914902,344.783,743.188,873.469,5786.085482,0,94.378,570.086,764.018,8489805.096
459.794,461.061,657.873,327.782,1020.038,877.342,942.492,527.735,408.219,3125.060422,186.533,767.487,895.843,5045.889777,63.677,95.039,816.137,777.737,15769280.49
462.208,360.936,651.69,33.843,993.089,799.073,914.6,692.177,435.635,1050.721012,209.823,685.959,947.495,5065.129587,73.05,163.219,663.97,813.802,6855195.521
496.378,463.306,646.776,364.049,927.073,930.272,940.148,582.494,348.567,3306.210945,249.122,864.937,910.665,4926.960561,0,170.118,559.769,792.051,13226550.51
430.858,430.456,640.849,222.09,969.18,926.23,756.244,615.536,321.172,2408.74233,149.117,731.99,706.145,4817.075704,173.506,0,715.322,839.603,12633795.89
493.444,337.713,657.981,219.723,924.492,964.461,930.734,620.576,485.298,2202.159183,264.373,773.436,799.025,5086.653437,204.364,134.134,795.008,821.356,13027463.69
474.988,370.199,622.247,64.077,1009.606,974.018,937.831,485.175,460.009,1292.34358,252.642,687.717,813.538,4716.169241,246.424,116.964,793.993,861.348,7123836.048
483.337,437.728,682.121,267.037,971.631,703.832,1003.291,551.095,420.995,2618.87984,327.747,830.046,917.368,5181.494337,160.147,79.463,885.525,810.922,15220864.3
464.443,358.611,699.042,172.779,947.624,741.233,896.299,508.481,315.058,1980.573769,157.23,853.645,843.916,5416.531115,55.405,76.448,850.325,759.876,10576164.01
515.811,281.397,587.724,382.609,1104.089,869.287,839.845,633.219,542.284,3236.911283,312.899,762.929,908.463,4413.66225,0,241.857,725.952,814.295,17184148.77
481.874,289.354,639.173,177.676,961.863,765.247,1001.256,562.116,305.475,1857.726078,166.462,796.819,926.145,4831.271208,79.826,121.839,678.543,786.824,9033347.779
