Age,Gender,Married,Salary,Annual Spend
28.2,Male,Single,26908.95,331.56
43.5,Female,Married,39366.44,3071.18
27.7,Female,Single,,1357.19
18.9,Male,Single,26235.55,769.78
18,Male,Single,30822.14,100
22.9,Female,Single,18334.52,2854.59
43.5,Female,Married,36642.04,1926.37
28,Male,Single,34612.04,853.1
52.3,Female,Married,34779.79,
27.2,Female,Single,21901.08,566.21
47.3,Female,Married,33535.09,2344.79
31,Female,Single,24944.1,1661.97
34.9,Female,Single,23136.51,1343.36
45.8,Female,Married,27398.68,3250.98
32.8,Female,Single,21680.78,2600.72
28.7,Female,Single,27930.64,3717.44
70.1,Female,Married,38683.06,3965.79
28,Female,Single,25404.68,786.29
,Male,Married,48905.96,3105.87
30.4,Female,Single,30677.96,1120.23
29.9,Female,Single,25182.12,1391.35
58,Male,Married,60550.5,2837.73
61.6,Male,Married,51015.63,3652.15
26.3,Female,Married,38994.85,4377.91
46.5,Female,Married,34270.02,3361.14
40.3,Male,Single,30670.1,630.37
29.1,Female,Single,28173.01,2915.23
43.3,Female,Married,37264.74,2919.63
28,Female,Single,27098.59,1811.02
23.8,Male,Single,34838.14,315.42
37.4,Female,Married,34761.15,1954.87
29.6,Male,Single,23847.97,100
34.4,Female,Single,21641.93,1771.59
19.4,Male,Single,32387.29,295.67
50.5,Female,Married,28956.75,3516.3
44.5,Female,Single,22443.49,1060.15
28.5,Female,Single,19170.92,1477.6
24.2,Male,Single,29968.47,185.96
60,Male,Married,56137.24,2748.58
52.6,Male,Married,57279.71,3782.55
41.3,Female,Married,41620.72,2594.61
29.6,Female,Single,22569.34,1445.96
18.3,Male,Single,38359.29,749.84
52.7,Male,Married,56461.55,3387.55
40.9,Female,Married,33880.74,2771.93
28.4,Female,Single,25418.5,2261.46
45.9,Female,Married,41382.85,2795.76
26.2,Female,Single,23546.63,2042.53
31.3,Male,Single,32191.66,1253.83
33.3,Male,Single,27041.81,962.52
31.7,Female,Single,22018.09,2127.24
44.3,Female,Married,36824.12,2393.17
24.9,Male,Single,38171.36,991.88
32.1,Female,Single,21359.02,1091.88
53.2,Female,Married,37897.49,3093.3
28.9,Male,Single,28345.9,322.01
48.4,Female,Married,39144.18,3767.35
60.8,Male,Married,48708.03,3957.25
23.4,Female,Single,21770.49,2004.11
53.5,Female,Married,26217.33,2940.67
20.9,Male,Single,27826.86,100
53.8,Female,Married,37428.93,2615
35.9,Female,Single,26455.46,1880.66
56.4,Female,Married,33277.38,3295.62
54.1,Female,Married,34330.29,2874.4
83.6,Male,Married,55756.02,3253.58
42.4,Female,Married,39210.97,3503.84
71.6,Male,Married,53496.84,2531.67
31.3,Female,Single,22783.46,900.59
27.8,Female,Single,17045.51,2142.1
22.5,Male,Single,30463.09,781.73
30,Male,Single,31529.44,610.36
41.8,Male,Married,53441.35,2910.29
54.7,Male,Married,57875.85,4103.91
28,Female,Single,24405.14,2730.58
26.4,Male,Single,30641.7,1166.75
34.8,Female,Married,39939.1,3925
